data_object,initial_completeness,technique_completeness,ml_algorithm,final_ml_value
default of credit card clients_x6,0.351225,impute_mice,KNN,0.783104064362465
default of credit card clients_x6,0.351225,impute_linear_regression,KNN,0.7830774338256417
default of credit card clients_x6,0.351225,impute_random_forest,KNN,0.783082621053718
default of credit card clients_x6,0.351225,impute_cmeans,KNN,0.7827243328483201
default of credit card clients_x6,0.351225,impute_standard,RandomForest,0.7884515036128671
default of credit card clients_x6,0.351225,impute_mean,RandomForest,0.7886284912762859
default of credit card clients_x6,0.351225,impute_median,RandomForest,0.7881844839936909
default of credit card clients_x6,0.351225,impute_random,RandomForest,0.7776935664635602
default of credit card clients_x6,0.351225,impute_knn,RandomForest,0.7902115600839406
default of credit card clients_x6,0.351225,impute_mice,RandomForest,0.790128748733659
default of credit card clients_x6,0.351225,impute_linear_regression,RandomForest,0.7899546488289538
default of credit card clients_x6,0.351225,impute_random_forest,RandomForest,0.7901840504739656
default of credit card clients_x6,0.351225,impute_cmeans,RandomForest,0.7884084829463355
default of credit card clients_x6,0.351225,impute_standard,AdaBoost,0.7768245375283076
default of credit card clients_x6,0.351225,impute_mean,AdaBoost,0.7781936563717096
default of credit card clients_x6,0.351225,impute_median,AdaBoost,0.7768245375283076
default of credit card clients_x6,0.351225,impute_random,AdaBoost,0.7749313463034784
default of credit card clients_x6,0.351225,impute_knn,AdaBoost,0.7836856732463238
default of credit card clients_x6,0.351225,impute_mice,AdaBoost,0.7872836102287304
default of credit card clients_x6,0.351225,impute_linear_regression,AdaBoost,0.7876404510864748
default of credit card clients_x6,0.351225,impute_random_forest,AdaBoost,0.785445003877934
default of credit card clients_x6,0.351225,impute_cmeans,AdaBoost,0.7828468937132098
default of credit card clients_x6,0.351225,impute_standard,SVC,0.4755457029634424
default of credit card clients_x6,0.351225,impute_mean,SVC,0.4733148691527194
default of credit card clients_x6,0.351225,impute_median,SVC,0.4755457029634424
default of credit card clients_x6,0.351225,impute_random,SVC,0.4820535061762052
default of credit card clients_x6,0.351225,impute_knn,SVC,0.4655999557463949
default of credit card clients_x6,0.351225,impute_mice,SVC,0.4410323085258295
default of credit card clients_x6,0.351225,impute_linear_regression,SVC,0.4401013354795067
default of credit card clients_x6,0.351225,impute_random_forest,SVC,0.450328982543186
default of credit card clients_x6,0.351225,impute_cmeans,SVC,0.4429994707339897
default of credit card clients_x6,0.2984874999999999,impute_standard,DecisionTree,0.7878873101500827
default of credit card clients_x6,0.2984874999999999,impute_mean,DecisionTree,0.787890563247143
default of credit card clients_x6,0.2984874999999999,impute_median,DecisionTree,0.7878969316277443
default of credit card clients_x6,0.2984874999999999,impute_random,DecisionTree,0.7767266858280751
default of credit card clients_x6,0.2984874999999999,impute_knn,DecisionTree,0.7897071175702868
default of credit card clients_x6,0.2984874999999999,impute_mice,DecisionTree,0.790405660286841
default of credit card clients_x6,0.2984874999999999,impute_linear_regression,DecisionTree,0.7905785505741592
default of credit card clients_x6,0.2984874999999999,impute_random_forest,DecisionTree,0.7897905136164889
default of credit card clients_x6,0.2984874999999999,impute_cmeans,DecisionTree,0.7899289935416486
default of credit card clients_x6,0.2984874999999999,impute_standard,LogisticRegression,0.7533493145564146
default of credit card clients_x6,0.2984874999999999,impute_mean,LogisticRegression,0.7533632025005104
default of credit card clients_x6,0.2984874999999999,impute_median,LogisticRegression,0.7533493145564146
default of credit card clients_x6,0.2984874999999999,impute_random,LogisticRegression,0.7482456275919405
default of credit card clients_x6,0.2984874999999999,impute_knn,LogisticRegression,0.7603253025710495
default of credit card clients_x6,0.2984874999999999,impute_mice,LogisticRegression,0.7583571374931114
default of credit card clients_x6,0.2984874999999999,impute_linear_regression,LogisticRegression,0.7583421971160139
default of credit card clients_x6,0.2984874999999999,impute_random_forest,LogisticRegression,0.7622869538337665
default of credit card clients_x6,0.2984874999999999,impute_cmeans,LogisticRegression,0.7600614929643685
default of credit card clients_x6,0.2984874999999999,impute_standard,KNN,0.7841525893134638
default of credit card clients_x6,0.2984874999999999,impute_mean,KNN,0.7841441711555283
default of credit card clients_x6,0.2984874999999999,impute_median,KNN,0.7841525893134638
default of credit card clients_x6,0.2984874999999999,impute_random,KNN,0.7758153446749908
default of credit card clients_x6,0.2984874999999999,impute_knn,KNN,0.783046977739721
default of credit card clients_x6,0.2984874999999999,impute_mice,KNN,0.7842922788773039
default of credit card clients_x6,0.2984874999999999,impute_linear_regression,KNN,0.784286586624136
default of credit card clients_x6,0.2984874999999999,impute_random_forest,KNN,0.7845212505632413
default of credit card clients_x6,0.2984874999999999,impute_cmeans,KNN,0.7836753256010217
default of credit card clients_x6,0.2984874999999999,impute_standard,RandomForest,0.7895380056006768
default of credit card clients_x6,0.2984874999999999,impute_mean,RandomForest,0.7895116933450091
default of credit card clients_x6,0.2984874999999999,impute_median,RandomForest,0.7894863326283503
default of credit card clients_x6,0.2984874999999999,impute_random,RandomForest,0.7786328471128803
default of credit card clients_x6,0.2984874999999999,impute_knn,RandomForest,0.7908581204857253
default of credit card clients_x6,0.2984874999999999,impute_mice,RandomForest,0.7905594763450919
default of credit card clients_x6,0.2984874999999999,impute_linear_regression,RandomForest,0.7905693071773131
default of credit card clients_x6,0.2984874999999999,impute_random_forest,RandomForest,0.7908138307193304
default of credit card clients_x6,0.2984874999999999,impute_cmeans,RandomForest,0.7894153057906517
default of credit card clients_x6,0.2984874999999999,impute_standard,AdaBoost,0.7776123584562077
default of credit card clients_x6,0.2984874999999999,impute_mean,AdaBoost,0.7788213323065283
default of credit card clients_x6,0.2984874999999999,impute_median,AdaBoost,0.7776123584562077
default of credit card clients_x6,0.2984874999999999,impute_random,AdaBoost,0.7756927290610569
default of credit card clients_x6,0.2984874999999999,impute_knn,AdaBoost,0.7847430521050986
default of credit card clients_x6,0.2984874999999999,impute_mice,AdaBoost,0.7882726922358992
default of credit card clients_x6,0.2984874999999999,impute_linear_regression,AdaBoost,0.7882266747625704
default of credit card clients_x6,0.2984874999999999,impute_random_forest,AdaBoost,0.7857069201534115
default of credit card clients_x6,0.2984874999999999,impute_cmeans,AdaBoost,0.7840399947772578
default of credit card clients_x6,0.2984874999999999,impute_standard,SVC,0.4546913781642462
default of credit card clients_x6,0.2984874999999999,impute_mean,SVC,0.4657616813025658
default of credit card clients_x6,0.2984874999999999,impute_median,SVC,0.4546913781642462
default of credit card clients_x6,0.2984874999999999,impute_random,SVC,0.4794875230060598
default of credit card clients_x6,0.2984874999999999,impute_knn,SVC,0.4945968626040117
default of credit card clients_x6,0.2984874999999999,impute_mice,SVC,0.4490240007912833
default of credit card clients_x6,0.2984874999999999,impute_linear_regression,SVC,0.4537056983860288
default of credit card clients_x6,0.2984874999999999,impute_random_forest,SVC,0.4738216675140177
default of credit card clients_x6,0.2984874999999999,impute_cmeans,SVC,0.4789124123363978
default of credit card clients_x6,0.2502625,impute_standard,DecisionTree,0.7896333840126886
default of credit card clients_x6,0.2502625,impute_mean,DecisionTree,0.7896341256809842
default of credit card clients_x6,0.2502625,impute_median,DecisionTree,0.7896544993915623
default of credit card clients_x6,0.2502625,impute_random,DecisionTree,0.7785770204320623
default of credit card clients_x6,0.2502625,impute_knn,DecisionTree,0.7913387479189955
default of credit card clients_x6,0.2502625,impute_mice,DecisionTree,0.791301026660471
default of credit card clients_x6,0.2502625,impute_linear_regression,DecisionTree,0.7917139803930917
default of credit card clients_x6,0.2502625,impute_random_forest,DecisionTree,0.7917796732866162
default of credit card clients_x6,0.2502625,impute_cmeans,DecisionTree,0.7901168362184778
default of credit card clients_x6,0.2502625,impute_standard,LogisticRegression,0.7558633404710231
default of credit card clients_x6,0.2502625,impute_mean,LogisticRegression,0.7559095379185633
default of credit card clients_x6,0.2502625,impute_median,LogisticRegression,0.7558633404710231
default of credit card clients_x6,0.2502625,impute_random,LogisticRegression,0.7507387375960635
default of credit card clients_x6,0.2502625,impute_knn,LogisticRegression,0.7620421964141058
default of credit card clients_x6,0.2502625,impute_mice,LogisticRegression,0.7606171623727717
default of credit card clients_x6,0.2502625,impute_linear_regression,LogisticRegression,0.7606264920208158
